John Powell,0-(470)830-2425
Carl Rodriguez,7-(723)763-4029
Nancy Garcia,6-(457)787-8068
Harry Marshall,5-(944)633-9319
Norma Day,5-(078)964-2988
Clarence Ray,8-(380)538-4359
Jimmy Myers,7-(859)723-3828
Denise Greene,1-(403)326-0451
Susan Shaw,4-(248)019-6649
Ralph Campbell,5-(182)033-1013
Edward Matthews,0-(402)147-1369
Lawrence Montgomery,4-(945)894-8104
Andrew Kelley,4-(601)490-1483
David Dean,2-(544)252-8571
Jesse Hunter,8-(598)989-0169
Terry Perez,7-(684)369-9399
Anne Armstrong,0-(225)006-8898
Sara Allen,3-(216)452-6034
Christina Russell,9-(931)703-5398
Larry Berry,7-(772)177-7107
Christina Ross,8-(163)346-6917
Roy Campbell,7-(789)010-8046
Albert Harper,4-(604)463-6334
Shirley Collins,3-(503)469-9928
Deborah Wilson,4-(835)212-5302
James Cruz,7-(056)715-6986
Terry Wood,6-(959)341-0730
Henry Kelley,9-(734)290-0744
Wanda Roberts,5-(722)001-6122
Ronald Armstrong,3-(521)710-1841
Catherine Peters,2-(427)375-4414
Margaret Kelley,5-(908)082-6505
Brenda Elliott,1-(389)770-1943
James Baker,4-(905)318-1816
Andrea Sanchez,6-(135)592-2363
Eugene Patterson,0-(493)063-9784
Julie Oliver,3-(163)724-6966
Rose Roberts,4-(675)514-1418
Todd Price,0-(381)235-1536
Raymond Perry,0-(512)381-8412
Antonio Duncan,4-(464)561-8749
Jane Vasquez,3-(680)194-2350
Shirley Kennedy,9-(485)731-9124
Theresa Hicks,1-(420)154-3706
Stephen Edwards,5-(330)400-4439
Gloria Owens,2-(123)051-6173
Donald Rose,5-(652)049-5326
Patricia Andrews,2-(023)172-1822
Donna Smith,1-(053)980-7961
Johnny Riley,2-(949)961-0184
Melissa Ramirez,6-(102)558-3518
Heather Austin,3-(156)933-3273
Amy Lee,2-(652)148-9314
Harry Kelly,1-(748)357-0548
Eugene Burke,8-(739)291-4052
Julia Nichols,9-(406)130-1011
Martin Flores,7-(304)211-0909
Kevin Stewart,8-(914)395-3607
Henry Simmons,3-(098)862-5856
Walter Mills,9-(592)559-4371
Susan Jacobs,7-(579)985-1697
Carolyn Payne,8-(961)926-7236
Patricia Fuller,7-(271)457-7149
Theresa Watson,8-(862)977-9102
Janet Wallace,3-(412)505-5134
Karen Chavez,4-(727)866-3247
Lois Fowler,3-(828)184-0532
Amanda Cruz,8-(764)201-2439
Samuel Cook,9-(054)657-2069
Dorothy Garcia,5-(521)741-6315
Carl Torres,8-(415)042-5972
Gerald Wagner,4-(054)983-7179
Judith Hernandez,3-(430)330-6930
Laura Peterson,5-(990)806-3795
Larry Kim,6-(580)265-4801
Eric Shaw,8-(149)513-7741
Gregory Pierce,2-(909)150-2678
Gloria Little,4-(917)250-2868
Steve Ramirez,7-(059)328-6064
Susan Alexander,4-(985)644-7513
Annie Hansen,3-(366)648-2505
Bobby Cooper,2-(178)492-4194
Edward Wood,9-(425)234-9351
Gregory Ellis,9-(280)730-8446
Anna Mitchell,8-(734)448-6619
Carol Perkins,6-(984)756-4622
Harry Wright,3-(754)452-7729
Theresa Wright,6-(524)114-3367
